"Index Name","Date","Open","High","Low","Close"
"NIFTY METAL","16 Jul 2026","12620.9","12623.15","12483.4","12495.90"
"NIFTY METAL","15 Jul 2026","12700.3","12728.2","12528.85","12536.90"
"NIFTY METAL","14 Jul 2026","12566.35","12768.25","12565.8","12677.70"
"NIFTY METAL","13 Jul 2026","12584.7","12615.15","12510.55","12601.45"
"NIFTY METAL","10 Jul 2026","12626.2","12822.05","12610","12688.90"
"NIFTY METAL","09 Jul 2026","12506.35","12579.4","12422","12503.30"
"NIFTY METAL","08 Jul 2026","12482.25","12655.65","12394.55","12468.70"
"NIFTY METAL","07 Jul 2026","12689.6","12707.25","12553.9","12582.75"
"NIFTY METAL","06 Jul 2026","12648.2","12739.8","12595.35","12722.45"
"NIFTY METAL","03 Jul 2026","12653.8","12744.55","12577.85","12598.45"
"NIFTY METAL","02 Jul 2026","12450.85","12590.2","12446.85","12503.90"
"NIFTY METAL","01 Jul 2026","12515.3","12522.9","12375.05","12394.75"
"NIFTY METAL","30 Jun 2026","12529.25","12573.05","12442.1","12519.15"
"NIFTY METAL","29 Jun 2026","12447.15","12576.75","12442.9","12545.00"
"NIFTY METAL","25 Jun 2026","12561.5","12575.25","12428.25","12445.65"
"NIFTY METAL","24 Jun 2026","12611.95","12712.45","12497.2","12618.75"
"NIFTY METAL","23 Jun 2026","12987.7","12987.7","12617.75","12669.10"
"NIFTY METAL","22 Jun 2026","13053.85","13106.4","12986.5","13091.20"
"NIFTY METAL","19 Jun 2026","12928.5","13050.7","12846.25","13020.80"
"NIFTY METAL","18 Jun 2026","13008.2","13100.95","12948.55","13010.40"
"NIFTY METAL","17 Jun 2026","12848.95","13066.7","12757.7","13011.40"
"NIFTY METAL","16 Jun 2026","12984.5","12984.5","12783.7","12881.50"
"NIFTY METAL","15 Jun 2026","13004.9","13931.35","12974.9","13083.85"
"NIFTY METAL","12 Jun 2026","12928.3","12933.95","12744.25","12854.50"
"NIFTY METAL","11 Jun 2026","12664.55","12839.75","12627.6","12733.60"
"NIFTY METAL","10 Jun 2026","12963.5","12964.3","12741.75","12766.45"
"NIFTY METAL","09 Jun 2026","12968.45","13011.2","12877.5","12987.10"
"NIFTY METAL","08 Jun 2026","13011.1","13075.55","12849.9","12913.65"
"NIFTY METAL","05 Jun 2026","13438.35","13476.25","13125.85","13221.65"
"NIFTY METAL","04 Jun 2026","13492.85","13545.25","13412.45","13436.00"
"NIFTY METAL","03 Jun 2026","13588.7","13613.6","13384.3","13535.20"
"NIFTY METAL","02 Jun 2026","13470.55","13629.15","13450","13557.65"
"NIFTY METAL","01 Jun 2026","13505.15","13569.1","13395.95","13506.55"
"NIFTY METAL","29 May 2026","13828.8","13828.8","13388.75","13440.95"
"NIFTY METAL","27 May 2026","13556.7","13873.75","13555.75","13718.30"
"NIFTY METAL","26 May 2026","13350.2","13516.35","13319.15","13492.55"
"NIFTY METAL","25 May 2026","13355.7","13385.85","13271.65","13345.65"
"NIFTY METAL","22 May 2026","13239.15","13293.85","13196.85","13271.60"
"NIFTY METAL","21 May 2026","13312.05","13348.4","13181.5","13213.50"
"NIFTY METAL","20 May 2026","13069.75","13201.25","13004.3","13186.50"
"NIFTY METAL","19 May 2026","13209.2","13239.5","13103.8","13163.75"
"NIFTY METAL","18 May 2026","13157.65","13212.3","12985","13169.95"
"NIFTY METAL","15 May 2026","13628.65","13628.65","13257.45","13300.60"
"NIFTY METAL","14 May 2026","13424.45","13580","13375.3","13562.25"
"NIFTY METAL","13 May 2026","12949.6","13344.1","12949.2","13290.80"
"NIFTY METAL","12 May 2026","12945.75","13076.65","12865.3","12881.40"
"NIFTY METAL","11 May 2026","12997.55","13036.85","12914.6","12926.40"
"NIFTY METAL","08 May 2026","13156","13167.15","13030.4","13050.95"
"NIFTY METAL","07 May 2026","13182.65","13256.2","13129.8","13165.40"
"NIFTY METAL","06 May 2026","13131.6","13195.95","13019.25","13129.55"
"NIFTY METAL","05 May 2026","12955.2","13041.1","12880.95","12989.60"
"NIFTY METAL","04 May 2026","12911.15","13025.75","12897.8","12972.70"
"NIFTY METAL","30 Apr 2026","13056","13056.1","12805.85","12833.05"
"NIFTY METAL","29 Apr 2026","13103.2","13159.55","12871.4","13111.35"
"NIFTY METAL","28 Apr 2026","13002.7","13164.3","12978.55","13046.45"
"NIFTY METAL","27 Apr 2026","12851.1","13033.25","12837.1","12980.85"
"NIFTY METAL","24 Apr 2026","12778.95","12839.1","12618.35","12746.65"
"NIFTY METAL","23 Apr 2026","12884.8","12888.9","12768.35","12786.25"
"NIFTY METAL","22 Apr 2026","12862.45","12925.85","12825.75","12892.20"
"NIFTY METAL","21 Apr 2026","12919","12986.6","12816.8","12835.00"
"NIFTY METAL","20 Apr 2026","12854.6","12902","12698.5","12829.65"
"NIFTY METAL","17 Apr 2026","12756","12902.7","12618","12880.00"
"NIFTY METAL","16 Apr 2026","12629.7","12816.25","12603.3","12740.20"
"NIFTY METAL","15 Apr 2026","12594.9","12644.15","12504.2","12548.00"
"NIFTY METAL","13 Apr 2026","12147.75","12372.75","12104.3","12329.30"
"NIFTY METAL","10 Apr 2026","12317.05","12387.15","12225.6","12356.40"
"NIFTY METAL","09 Apr 2026","12089.85","12286.55","12042.45","12229.70"
"NIFTY METAL","08 Apr 2026","12065.1","12140.25","11984.5","12078.95"
"NIFTY METAL","07 Apr 2026","11602.7","11784.45","11529.45","11762.65"
"NIFTY METAL","06 Apr 2026","11431.4","11608.7","11366.1","11583.50"
"NIFTY METAL","02 Apr 2026","11307.05","11481.25","11052.55","11456.60"
"NIFTY METAL","01 Apr 2026","11447.55","11573","11374.55","11412.05"
"NIFTY METAL","30 Mar 2026","11154.9","11340.6","11087.95","11138.40"
